model,idx,source,true_label,ood_score,pred_label,correct
AA-only (before retrain),72,AA_pure,ID,0.471307,ID,1
AA-only (before retrain),73,AA_pure,ID,0.484403,ID,1
AA-only (before retrain),74,AA_pure,ID,0.580981,ID,1
AA-only (before retrain),75,AA_pure,ID,0.430589,ID,1
AA-only (before retrain),76,AA_pure,ID,0.596813,ID,1
AA-only (before retrain),77,AA_pure,ID,0.360882,ID,1
AA-only (before retrain),78,AA_pure,ID,0.577206,ID,1
AA-only (before retrain),79,AA_pure,ID,0.591322,ID,1
AA-only (before retrain),80,AA_pure,ID,0.58513,ID,1
AA-only (before retrain),81,AA_pure,ID,0.816876,OOD,0
AA-only (before retrain),82,AA_pure,ID,0.382677,ID,1
AA-only (before retrain),83,AA_pure,ID,0.463436,ID,1
AA-only (before retrain),84,AA_pure,ID,0.545347,ID,1
AA-only (before retrain),85,AA_pure,ID,0.409578,ID,1
AA-only (before retrain),86,AA_pure,ID,0.532613,ID,1
AA-only (before retrain),87,AA_pure,ID,0.507567,ID,1
AA-only (before retrain),88,AA_pure,ID,0.556229,ID,1
AA-only (before retrain),89,AA_pure,ID,0.598446,ID,1
AA-only (before retrain),90,AA_pure,ID,0.50967,ID,1
AA-only (before retrain),91,AA_pure,ID,0.60674,ID,1
AA-only (before retrain),92,AA_pure,ID,0.459319,ID,1
AA-only (before retrain),93,AA_pure,ID,0.411046,ID,1
AA-only (before retrain),94,AA_pure,ID,0.646909,ID,1
AA-only (before retrain),95,AA_pure,ID,0.467809,ID,1
AA-only (before retrain),96,AA_pure,ID,0.470496,ID,1
AA-only (before retrain),97,AA_pure,ID,0.558397,ID,1
AA-only (before retrain),98,AA_pure,ID,0.506079,ID,1
AA-only (before retrain),99,AA_pure,ID,0.57664,ID,1
AA-only (before retrain),100,AA_pure,ID,0.563969,ID,1
AA-only (before retrain),101,AA_pure,ID,0.472654,ID,1
AA-only (before retrain),102,AA_pure,ID,0.749659,ID,1
AA-only (before retrain),103,AA_pure,ID,0.468363,ID,1
AA-only (before retrain),104,AA_pure,ID,0.464679,ID,1
AA-only (before retrain),105,AA_pure,ID,0.526448,ID,1
AA-only (before retrain),106,AA_pure,ID,0.48564,ID,1
AA-only (before retrain),107,AA_pure,ID,0.388613,ID,1
AA-only (before retrain),108,AA_pure,ID,0.608039,ID,1
AA-only (before retrain),109,AA_pure,ID,0.725155,ID,1
AA-only (before retrain),110,AA_pure,ID,0.430739,ID,1
AA-only (before retrain),111,AA_pure,ID,0.424151,ID,1
AA-only (before retrain),112,AA_pure,ID,0.391823,ID,1
AA-only (before retrain),113,AA_pure,ID,0.549159,ID,1
AA-only (before retrain),114,AA_pure,ID,0.668769,ID,1
AA-only (before retrain),115,AA_pure,ID,0.442538,ID,1
AA-only (before retrain),116,AA_pure,ID,0.648143,ID,1
AA-only (before retrain),117,AA_pure,ID,0.579285,ID,1
AA-only (before retrain),118,AA_pure,ID,0.429388,ID,1
AA-only (before retrain),119,AA_pure,ID,0.558263,ID,1
AA-only (before retrain),120,AA_pure,ID,0.495433,ID,1
AA-only (before retrain),121,AA_pure,ID,0.408454,ID,1
AA-only (before retrain),122,AA_pure,ID,0.431192,ID,1
AA-only (before retrain),123,AA_pure,ID,0.718239,ID,1
AA-only (before retrain),124,AA_pure,ID,0.52773,ID,1
AA-only (before retrain),125,AA_pure,ID,0.40977,ID,1
AA-only (before retrain),126,AA_pure,ID,0.68659,ID,1
AA-only (before retrain),127,AA_pure,ID,0.386734,ID,1
AA-only (before retrain),128,AA_pure,ID,0.607594,ID,1
AA-only (before retrain),129,AA_pure,ID,0.76035,ID,1
AA-only (before retrain),130,AA_pure,ID,0.509039,ID,1
AA-only (before retrain),131,AA_pure,ID,0.46366,ID,1
AA-only (before retrain),132,AA_pure,ID,0.5412,ID,1
AA-only (before retrain),133,AA_pure,ID,0.507429,ID,1
AA-only (before retrain),134,AA_pure,ID,0.410402,ID,1
AA-only (before retrain),135,AA_pure,ID,0.562438,ID,1
AA-only (before retrain),136,AA_pure,ID,0.822805,OOD,0
AA-only (before retrain),137,AA_pure,ID,0.637522,ID,1
AA-only (before retrain),138,AA_pure,ID,0.928269,OOD,0
AA-only (before retrain),139,AA_pure,ID,0.531131,ID,1
AA-only (before retrain),140,AA_pure,ID,0.59018,ID,1
AA-only (before retrain),141,AA_pure,ID,0.382702,ID,1
AA-only (before retrain),142,AA_pure,ID,0.96274,OOD,0
AA-only (before retrain),143,AA_pure,ID,0.44285,ID,1
AA-only (before retrain),144,AA_pure,ID,0.749802,ID,1
AA-only (before retrain),145,AA_pure,ID,0.552983,ID,1
AA-only (before retrain),146,AA_pure,ID,0.46945,ID,1
AA-only (before retrain),147,AA_pure,ID,0.466606,ID,1
AA-only (before retrain),148,AA_pure,ID,0.548897,ID,1
AA-only (before retrain),149,AA_pure,ID,0.435389,ID,1
AA-only (before retrain),150,AA_pure,ID,0.452032,ID,1
AA-only (before retrain),151,AA_pure,ID,0.413947,ID,1
AA-only (before retrain),152,AA_pure,ID,0.52156,ID,1
AA-only (before retrain),153,AA_pure,ID,0.426222,ID,1
AA-only (before retrain),154,AA_pure,ID,0.767936,ID,1
AA-only (before retrain),155,AA_pure,ID,0.529878,ID,1
AA-only (before retrain),156,AA_pure,ID,0.380812,ID,1
AA-only (before retrain),157,AA_pure,ID,0.404811,ID,1
AA-only (before retrain),158,AA_pure,ID,0.756055,ID,1
AA-only (before retrain),159,AA_pure,ID,0.517243,ID,1
AA-only (before retrain),160,AA_pure,ID,0.468458,ID,1
AA-only (before retrain),161,AA_pure,ID,0.431782,ID,1
AA-only (before retrain),162,AA_pure,ID,0.372681,ID,1
AA-only (before retrain),163,AA_pure,ID,0.526716,ID,1
AA-only (before retrain),164,AA_pure,ID,0.508922,ID,1
AA-only (before retrain),165,AA_pure,ID,0.481495,ID,1
AA-only (before retrain),166,AA_pure,ID,0.598478,ID,1
AA-only (before retrain),167,AA_pure,ID,0.535845,ID,1
AA-only (before retrain),168,AA_pure,ID,0.942373,OOD,0
AA-only (before retrain),169,AA_pure,ID,0.731388,ID,1
AA-only (before retrain),170,AA_pure,ID,0.784861,ID,1
AA-only (before retrain),171,AA_pure,ID,0.473598,ID,1
AA-only (before retrain),172,AA_pure,ID,0.568313,ID,1
AA-only (before retrain),173,AA_pure,ID,0.632105,ID,1
AA-only (before retrain),174,AA_pure,ID,0.489108,ID,1
AA-only (before retrain),175,AA_pure,ID,0.620445,ID,1
AA-only (before retrain),176,AA_pure,ID,0.603111,ID,1
AA-only (before retrain),177,AA_pure,ID,0.583867,ID,1
AA-only (before retrain),178,AA_pure,ID,0.722185,ID,1
AA-only (before retrain),179,AA_pure,ID,0.6179,ID,1
AA-only (before retrain),180,AA_pure,ID,0.693711,ID,1
AA-only (before retrain),181,AA_pure,ID,0.506093,ID,1
AA-only (before retrain),182,AA_pure,ID,0.744293,ID,1
AA-only (before retrain),183,AA_pure,ID,0.411106,ID,1
AA-only (before retrain),184,AA_pure,ID,0.579475,ID,1
AA-only (before retrain),185,AA_pure,ID,0.610791,ID,1
AA-only (before retrain),186,AA_pure,ID,0.51667,ID,1
AA-only (before retrain),187,AA_pure,ID,0.484889,ID,1
AA-only (before retrain),188,AA_pure,ID,0.48666,ID,1
AA-only (before retrain),189,AA_pure,ID,0.531548,ID,1
AA-only (before retrain),190,AA_pure,ID,0.632015,ID,1
AA-only (before retrain),191,AA_pure,ID,0.74267,ID,1
AA-only (before retrain),192,AA_pure,ID,0.555421,ID,1
AA-only (before retrain),193,AA_pure,ID,0.588423,ID,1
AA-only (before retrain),194,AA_pure,ID,0.642028,ID,1
AA-only (before retrain),195,AA_pure,ID,0.484449,ID,1
AA-only (before retrain),196,AA_pure,ID,0.524062,ID,1
AA-only (before retrain),197,AA_pure,ID,0.485676,ID,1
AA-only (before retrain),198,AA_pure,ID,0.526127,ID,1
AA-only (before retrain),199,AA_pure,ID,0.614457,ID,1
AA-only (before retrain),200,AA_pure,ID,0.548889,ID,1
AA-only (before retrain),201,AA_pure,ID,0.460691,ID,1
AA-only (before retrain),202,AA_pure,ID,0.534501,ID,1
AA-only (before retrain),203,AA_pure,ID,0.590447,ID,1
AA-only (before retrain),204,AA_pure,ID,0.397762,ID,1
AA-only (before retrain),205,AA_pure,ID,0.497957,ID,1
AA-only (before retrain),206,AA_pure,ID,0.488271,ID,1
AA-only (before retrain),207,AA_pure,ID,0.59619,ID,1
AA-only (before retrain),208,AA_pure,ID,0.391946,ID,1
AA-only (before retrain),209,AA_pure,ID,0.72765,ID,1
AA-only (before retrain),210,AA_pure,ID,0.402292,ID,1
AA-only (before retrain),211,AA_pure,ID,0.563646,ID,1
AA-only (before retrain),212,AA_pure,ID,0.524438,ID,1
AA-only (before retrain),213,AA_pure,ID,0.530886,ID,1
AA-only (before retrain),214,AA_pure,ID,0.713993,ID,1
AA-only (before retrain),215,AA_pure,ID,0.394891,ID,1
AA-only (before retrain),216,AA_pure,ID,0.465739,ID,1
AA-only (before retrain),217,AA_pure,ID,0.480321,ID,1
AA-only (before retrain),218,AA_pure,ID,0.454926,ID,1
AA-only (before retrain),219,AA_pure,ID,0.539669,ID,1
AA-only (before retrain),220,AA_pure,ID,0.5648,ID,1
AA-only (before retrain),221,AA_pure,ID,0.511185,ID,1
AA-only (before retrain),222,AA_pure,ID,0.459809,ID,1
AA-only (before retrain),223,AA_pure,ID,0.797091,ID,1
AA-only (before retrain),224,AA_pure,ID,0.514508,ID,1
AA-only (before retrain),225,AA_pure,ID,0.481633,ID,1
AA-only (before retrain),226,AA_pure,ID,0.702704,ID,1
AA-only (before retrain),227,AA_pure,ID,0.503445,ID,1
AA-only (before retrain),228,AA_pure,ID,0.568602,ID,1
AA-only (before retrain),229,AA_pure,ID,0.402566,ID,1
AA-only (before retrain),230,AA_pure,ID,0.531253,ID,1
AA-only (before retrain),231,AA_pure,ID,0.390466,ID,1
AA-only (before retrain),232,AA_pure,ID,0.657621,ID,1
AA-only (before retrain),233,AA_pure,ID,0.540277,ID,1
AA-only (before retrain),234,AA_pure,ID,0.591441,ID,1
AA-only (before retrain),235,AA_pure,ID,0.80276,OOD,0
AA-only (before retrain),236,AA_pure,ID,0.607539,ID,1
AA-only (before retrain),237,AA_pure,ID,0.553738,ID,1
AA-only (before retrain),238,AA_pure,ID,0.357769,ID,1
AA-only (before retrain),239,AA_pure,ID,0.921975,OOD,0
AA-only (before retrain),240,AA_pure,ID,0.413804,ID,1
AA-only (before retrain),241,AA_pure,ID,0.466364,ID,1
AA-only (before retrain),242,AA_pure,ID,0.592244,ID,1
AA-only (before retrain),243,AA_pure,ID,0.505592,ID,1
AA-only (before retrain),244,AA_pure,ID,0.34209,ID,1
AA-only (before retrain),245,AA_pure,ID,0.430874,ID,1
AA-only (before retrain),246,AA_pure,ID,0.47348,ID,1
AA-only (before retrain),247,AA_pure,ID,0.894299,OOD,0
AA-only (before retrain),248,AA_pure,ID,0.54184,ID,1
AA-only (before retrain),249,AA_pure,ID,0.410795,ID,1
AA-only (before retrain),250,AA_pure,ID,0.560899,ID,1
AA-only (before retrain),251,AA_pure,ID,0.690402,ID,1
AA-only (before retrain),252,AA_pure,ID,0.492633,ID,1
AA-only (before retrain),253,AA_pure,ID,0.442849,ID,1
AA-only (before retrain),254,AA_pure,ID,0.390045,ID,1
AA-only (before retrain),255,AA_pure,ID,0.552414,ID,1
AA-only (before retrain),256,AA_pure,ID,0.441793,ID,1
AA-only (before retrain),257,AA_pure,ID,0.676052,ID,1
AA-only (before retrain),258,AA_pure,ID,0.687063,ID,1
AA-only (before retrain),259,AA_pure,ID,0.562997,ID,1
AA-only (before retrain),260,AA_pure,ID,0.57907,ID,1
AA-only (before retrain),261,AA_pure,ID,0.624517,ID,1
AA-only (before retrain),262,AA_pure,ID,0.657226,ID,1
AA-only (before retrain),263,AA_pure,ID,0.437645,ID,1
AA-only (before retrain),264,AA_pure,ID,0.648853,ID,1
AA-only (before retrain),265,AA_pure,ID,0.505501,ID,1
AA-only (before retrain),266,AA_pure,ID,0.507642,ID,1
AA-only (before retrain),267,AA_pure,ID,0.526752,ID,1
AA-only (before retrain),268,AA_pure,ID,0.406543,ID,1
AA-only (before retrain),269,AA_pure,ID,0.504108,ID,1
AA-only (before retrain),270,AA_pure,ID,0.930157,OOD,0
AA-only (before retrain),271,AA_pure,ID,0.718345,ID,1
AA-only (before retrain),272,AA_pure,ID,0.418048,ID,1
AA-only (before retrain),273,AA_pure,ID,0.545435,ID,1
AA-only (before retrain),274,AA_pure,ID,0.469206,ID,1
AA-only (before retrain),275,AA_pure,ID,0.726008,ID,1
AA-only (before retrain),276,AA_pure,ID,0.524131,ID,1
AA-only (before retrain),277,AA_pure,ID,0.618212,ID,1
AA-only (before retrain),278,AA_pure,ID,0.569332,ID,1
AA-only (before retrain),279,AA_pure,ID,0.455158,ID,1
AA-only (before retrain),280,AA_pure,ID,0.562636,ID,1
AA-only (before retrain),281,AA_pure,ID,0.454845,ID,1
AA-only (before retrain),282,AA_pure,ID,0.410791,ID,1
AA-only (before retrain),283,AA_pure,ID,0.507807,ID,1
AA-only (before retrain),284,AA_pure,ID,0.453922,ID,1
AA-only (before retrain),285,AA_pure,ID,0.468093,ID,1
AA-only (before retrain),286,AA_pure,ID,0.512066,ID,1
AA-only (before retrain),287,AA_pure,ID,0.553605,ID,1
AA-only (before retrain),288,AA_pure,ID,0.408808,ID,1
AA-only (before retrain),289,AA_pure,ID,0.716862,ID,1
AA-only (before retrain),290,AA_pure,ID,0.692941,ID,1
AA-only (before retrain),291,AA_pure,ID,0.487596,ID,1
AA-only (before retrain),292,AA_pure,ID,0.496052,ID,1
AA-only (before retrain),293,AA_pure,ID,0.392442,ID,1
AA-only (before retrain),294,AA_pure,ID,0.701313,ID,1
AA-only (before retrain),295,AA_pure,ID,0.598284,ID,1
AA-only (before retrain),296,AA_pure,ID,0.504737,ID,1
AA-only (before retrain),297,AA_pure,ID,0.533004,ID,1
AA-only (before retrain),298,AA_pure,ID,0.58665,ID,1
AA-only (before retrain),299,AA_pure,ID,0.588621,ID,1
AA-only (before retrain),300,AA_pure,ID,0.574271,ID,1
AA-only (before retrain),301,AA_pure,ID,0.808636,OOD,0
AA-only (before retrain),302,AA_pure,ID,0.396499,ID,1
AA-only (before retrain),303,AA_pure,ID,0.484018,ID,1
AA-only (before retrain),304,AA_pure,ID,0.693075,ID,1
AA-only (before retrain),305,AA_pure,ID,0.534247,ID,1
AA-only (before retrain),306,AA_pure,ID,0.800841,OOD,0
AA-only (before retrain),307,AA_pure,ID,0.4745,ID,1
AA-only (before retrain),308,AA_pure,ID,0.82474,OOD,0
AA-only (before retrain),309,AA_pure,ID,0.56319,ID,1
AA-only (before retrain),310,AA_pure,ID,0.578786,ID,1
AA-only (before retrain),311,AA_pure,ID,0.549253,ID,1
AA-only (before retrain),312,AA_pure,ID,0.486114,ID,1
AA-only (before retrain),313,AA_pure,ID,0.561152,ID,1
AA-only (before retrain),314,AA_pure,ID,0.42618,ID,1
AA-only (before retrain),315,AA_pure,ID,0.65723,ID,1
AA-only (before retrain),316,AA_pure,ID,0.3876,ID,1
AA-only (before retrain),317,AA_pure,ID,0.497878,ID,1
AA-only (before retrain),318,AA_pure,ID,0.719421,ID,1
AA-only (before retrain),319,AA_pure,ID,0.412455,ID,1
AA-only (before retrain),320,AA_pure,ID,0.476754,ID,1
AA-only (before retrain),321,AA_pure,ID,0.473179,ID,1
AA-only (before retrain),322,AA_pure,ID,0.501736,ID,1
AA-only (before retrain),323,AA_pure,ID,0.628569,ID,1
AA-only (before retrain),324,AA_pure,ID,0.570903,ID,1
AA-only (before retrain),325,AA_pure,ID,0.403649,ID,1
AA-only (before retrain),326,AA_pure,ID,0.569763,ID,1
AA-only (before retrain),327,AA_pure,ID,0.378034,ID,1
AA-only (before retrain),328,AA_pure,ID,0.444481,ID,1
AA-only (before retrain),329,AA_pure,ID,0.442329,ID,1
AA-only (before retrain),330,AA_pure,ID,0.477115,ID,1
AA-only (before retrain),331,AA_pure,ID,0.448538,ID,1
AA-only (before retrain),332,AA_pure,ID,0.469747,ID,1
AA-only (before retrain),333,AA_pure,ID,0.680755,ID,1
AA-only (before retrain),334,AA_pure,ID,0.448519,ID,1
AA-only (before retrain),335,AA_pure,ID,0.482773,ID,1
AA-only (before retrain),336,AA_pure,ID,0.414253,ID,1
AA-only (before retrain),337,AA_pure,ID,0.679863,ID,1
AA-only (before retrain),338,AA_pure,ID,0.574171,ID,1
AA-only (before retrain),339,AA_pure,ID,0.576143,ID,1
AA-only (before retrain),340,AA_pure,ID,0.792674,ID,1
AA-only (before retrain),341,AA_pure,ID,0.656207,ID,1
AA-only (before retrain),342,AA_pure,ID,0.529501,ID,1
AA-only (before retrain),343,AA_pure,ID,0.403411,ID,1
AA-only (before retrain),344,AA_pure,ID,0.55544,ID,1
AA-only (before retrain),345,AA_pure,ID,0.55506,ID,1
AA-only (before retrain),346,AA_pure,ID,0.480861,ID,1
AA-only (before retrain),347,AA_pure,ID,0.699464,ID,1
AA-only (before retrain),348,AA_pure,ID,0.596049,ID,1
AA-only (before retrain),349,AA_pure,ID,0.570815,ID,1
AA-only (before retrain),350,AA_pure,ID,0.567811,ID,1
AA-only (before retrain),351,AA_pure,ID,0.660099,ID,1
AA-only (before retrain),352,AA_pure,ID,0.429119,ID,1
AA-only (before retrain),353,AA_pure,ID,0.534987,ID,1
AA-only (before retrain),354,AA_pure,ID,0.59139,ID,1
AA-only (before retrain),355,AA_pure,ID,0.423639,ID,1
AA-only (before retrain),356,AA_pure,ID,0.449715,ID,1
AA-only (before retrain),357,AA_pure,ID,0.521446,ID,1
AA-only (before retrain),358,AA_pure,ID,0.624517,ID,1
AA-only (before retrain),359,AA_pure,ID,0.513149,ID,1
AA-only (before retrain),360,AA_pure,ID,0.456504,ID,1
AA-only (before retrain),361,AA_pure,ID,0.585667,ID,1
AA-only (before retrain),362,AA_pure,ID,0.680799,ID,1
AA-only (before retrain),363,AA_pure,ID,0.569906,ID,1
AA-only (before retrain),364,AA_pure,ID,0.536663,ID,1
AA-only (before retrain),365,AA_pure,ID,0.638461,ID,1
AA-only (before retrain),366,AA_pure,ID,0.614121,ID,1
AA-only (before retrain),367,AA_pure,ID,0.749708,ID,1
AA-only (before retrain),368,AA_pure,ID,0.350359,ID,1
AA-only (before retrain),369,AA_pure,ID,0.419752,ID,1
AA-only (before retrain),370,AA_pure,ID,0.571699,ID,1
AA-only (before retrain),371,AA_pure,ID,0.48038,ID,1
AA-only (before retrain),372,AA_pure,ID,0.415827,ID,1
AA-only (before retrain),373,AA_pure,ID,0.559158,ID,1
AA-only (before retrain),374,AA_pure,ID,0.528121,ID,1
AA-only (before retrain),375,AA_pure,ID,0.69942,ID,1
AA-only (before retrain),376,AA_pure,ID,0.592757,ID,1
AA-only (before retrain),377,AA_pure,ID,0.524821,ID,1
AA-only (before retrain),378,AA_pure,ID,0.462953,ID,1
AA-only (before retrain),379,AA_pure,ID,0.452631,ID,1
AA-only (before retrain),380,AA_pure,ID,0.482613,ID,1
AA-only (before retrain),381,AA_pure,ID,0.407955,ID,1
AA-only (before retrain),382,AA_pure,ID,0.59148,ID,1
AA-only (before retrain),383,AA_pure,ID,0.387032,ID,1
AA-only (before retrain),384,AA_pure,ID,0.483052,ID,1
AA-only (before retrain),385,AA_pure,ID,0.497592,ID,1
AA-only (before retrain),386,AA_pure,ID,0.397587,ID,1
AA-only (before retrain),387,AA_pure,ID,0.791519,ID,1
AA-only (before retrain),388,AA_pure,ID,0.636119,ID,1
AA-only (before retrain),389,AA_pure,ID,0.471982,ID,1
AA-only (before retrain),390,AA_pure,ID,0.533282,ID,1
AA-only (before retrain),391,AA_pure,ID,0.520913,ID,1
AA-only (before retrain),392,AA_pure,ID,0.644922,ID,1
AA-only (before retrain),393,AA_pure,ID,0.835253,OOD,0
AA-only (before retrain),394,AA_pure,ID,0.637617,ID,1
AA-only (before retrain),395,AA_pure,ID,0.458114,ID,1
AA-only (before retrain),396,AA_pure,ID,0.933407,OOD,0
AA-only (before retrain),397,AA_pure,ID,0.47968,ID,1
AA-only (before retrain),398,AA_pure,ID,0.442501,ID,1
AA-only (before retrain),399,AA_pure,ID,0.451157,ID,1
AA-only (before retrain),400,AA_pure,ID,0.409326,ID,1
AA-only (before retrain),401,AA_pure,ID,0.405215,ID,1
AA-only (before retrain),402,AA_pure,ID,0.509528,ID,1
AA-only (before retrain),403,AA_pure,ID,0.64668,ID,1
AA-only (before retrain),404,AA_pure,ID,0.593708,ID,1
AA-only (before retrain),405,AA_pure,ID,0.527789,ID,1
AA-only (before retrain),406,AA_pure,ID,0.927109,OOD,0
AA-only (before retrain),407,AA_pure,ID,0.536204,ID,1
AA-only (before retrain),408,AA_pure,ID,0.473764,ID,1
AA-only (before retrain),409,AA_pure,ID,0.389779,ID,1
AA-only (before retrain),410,AA_pure,ID,0.487315,ID,1
AA-only (before retrain),411,AA_pure,ID,0.417537,ID,1
AA-only (before retrain),412,AA_pure,ID,0.54682,ID,1
AA-only (before retrain),413,AA_pure,ID,0.507679,ID,1
AA-only (before retrain),414,AA_pure,ID,0.460777,ID,1
AA-only (before retrain),415,AA_pure,ID,0.8546,OOD,0
AA-only (before retrain),416,AA_pure,ID,0.968124,OOD,0
AA-only (before retrain),417,AA_pure,ID,0.4299,ID,1
AA-only (before retrain),418,AA_pure,ID,0.569805,ID,1
AA-only (before retrain),419,AA_pure,ID,0.604814,ID,1
AA-only (before retrain),420,AA_pure,ID,0.506388,ID,1
AA-only (before retrain),421,AA_pure,ID,0.482635,ID,1
AA-only (before retrain),422,AA_pure,ID,0.554185,ID,1
AA-only (before retrain),423,AA_pure,ID,0.484081,ID,1
AA-only (before retrain),424,AA_pure,ID,0.368826,ID,1
AA-only (before retrain),425,AA_pure,ID,0.468539,ID,1
AA-only (before retrain),426,AA_pure,ID,0.500401,ID,1
AA-only (before retrain),427,AA_pure,ID,0.538915,ID,1
AA-only (before retrain),428,AA_pure,ID,0.614484,ID,1
AA-only (before retrain),429,AA_pure,ID,0.515733,ID,1
AA-only (before retrain),430,AA_pure,ID,0.525219,ID,1
AA-only (before retrain),431,AA_pure,ID,0.544519,ID,1
AA-only (before retrain),432,AA_pure,ID,0.665794,ID,1
AA-only (before retrain),433,AA_pure,ID,0.648378,ID,1
AA-only (before retrain),434,AA_pure,ID,0.700691,ID,1
AA-only (before retrain),435,AA_pure,ID,0.470681,ID,1
AA-only (before retrain),436,AA_pure,ID,0.547336,ID,1
AA-only (before retrain),437,AA_pure,ID,0.392922,ID,1
AA-only (before retrain),438,AA_pure,ID,0.47641,ID,1
AA-only (before retrain),439,AA_pure,ID,0.513781,ID,1
AA-only (before retrain),440,AA_pure,ID,0.664472,ID,1
AA-only (before retrain),441,AA_pure,ID,0.483983,ID,1
AA-only (before retrain),442,AA_pure,ID,0.431126,ID,1
AA-only (before retrain),443,AA_pure,ID,0.614154,ID,1
AA-only (before retrain),444,AA_pure,ID,0.603274,ID,1
AA-only (before retrain),445,AA_pure,ID,0.562398,ID,1
AA-only (before retrain),446,AA_pure,ID,0.456865,ID,1
AA-only (before retrain),447,AA_pure,ID,0.422073,ID,1
AA-only (before retrain),448,AA_pure,ID,0.541225,ID,1
